bag_tag_id,booking_reference,passenger_name,flt_number,origin,destination,weight_kg,bag_type,check_in_timestamp,belt_assigned,scan_status,current_location,loaded_to_aircraft,delivery_status,damage_reported,claim_filed
BT2401150022,BK2401150016,Maria Garcia,KE789,ICN,CDG,28.5,CHECKED,2024-01-15 11:15:20,A01,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150023,BK2401150016,Maria Garcia,KE789,ICN,CDG,26.3,CHECKED,2024-01-15 11:15:35,A01,SCANNED,AIRCRAFT,TRUE,DELIVERED,TRUE,TRUE
BT2401150024,BK2401150016,Maria Garcia,KE789,ICN,CDG,22.1,CHECKED,2024-01-15 11:15:50,A01,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150025,BK2401150017,안지호,KE789,ICN,CDG,19.5,CHECKED,2024-01-15 11:45:15,A01,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150026,BK2401150018,전소율,OZ102,ICN,PVG,21.8,CHECKED,2024-01-15 13:00:20,B11,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150027,BK2401150019,홍주원,OZ102,ICN,PVG,23.2,CHECKED,2024-01-15 13:05:15,B11,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150028,BK2401150019,홍주원,OZ102,ICN,PVG,18.9,CHECKED,2024-01-15 13:05:30,B11,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150029,BK2401150020,문하린,TW501,ICN,TPE,20.5,CHECKED,2024-01-15 14:30:20,B15,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150030,BK2401150021,배이준,TW501,ICN,TPE,24.1,CHECKED,2024-01-15 14:25:15,B15,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150031,BK2401150021,배이준,TW501,ICN,TPE,19.7,CHECKED,2024-01-15 14:25:30,B15,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150032,BK2401150022,Tanaka Yuki,TW501,ICN,TPE,17.3,CHECKED,2024-01-15 14:35:20,B15,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150033,BK2401150023,손채원,KE234,ICN,JFK,29.2,CHECKED,2024-01-15 16:45:15,A05,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150034,BK2401150023,손채원,KE234,ICN,JFK,27.5,CHECKED,2024-01-15 16:45:30,A05,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150035,BK2401150023,손채원,KE234,ICN,JFK,25.8,CHECKED,2024-01-15 16:45:45,A05,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150036,BK2401150023,손채원,KE234,ICN,JFK,23.1,CHECKED,2024-01-15 16:46:00,A05,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150037,BK2401150024,유준서,KE234,ICN,JFK,22.4,CHECKED,2024-01-15 16:50:20,A05,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150038,BK2401150024,유준서,KE234,ICN,JFK,19.8,CHECKED,2024-01-15 16:50:35,A05,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150039,BK2401150025,권은서,KE234,ICN,JFK,18.5,CHECKED,2024-01-15 17:00:15,A05,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150040,BK2401150026,Michael Johnson,KE234,ICN,JFK,25.2,CHECKED,2024-01-15 17:05:20,A05,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150041,BK2401150026,Michael Johnson,KE234,ICN,JFK,22.8,CHECKED,2024-01-15 17:05:35,A05,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150042,BK2401150027,신시윤,ZE201,ICN,FUK,16.9,CHECKED,2024-01-15 07:15:15,C12,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160001,BK2401160001,노지안,KE567,ICN,HKG,19.2,CHECKED,2024-01-16 06:00:15,A08,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160002,BK2401160002,하수아,KE567,ICN,HKG,21.5,CHECKED,2024-01-16 06:05:20,A08,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160003,BK2401160002,하수아,KE567,ICN,HKG,18.3,CHECKED,2024-01-16 06:05:35,A08,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160004,BK2401160003,Chen Wei,KE567,ICN,HKG,17.8,CHECKED,2024-01-16 05:50:20,A08,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160005,BK2401160004,양윤서,OZ303,ICN,BKK,20.1,CHECKED,2024-01-16 07:45:15,B03,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160006,BK2401160005,성민준,OZ303,ICN,BKK,23.4,CHECKED,2024-01-16 07:50:20,B03,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160007,BK2401160005,성민준,OZ303,ICN,BKK,19.7,CHECKED,2024-01-16 07:50:35,B03,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160008,BK2401160006,차예린,7C205,ICN,KIX,15.2,CHECKED,2024-01-16 09:00:15,C05,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160009,BK2401160008,피수빈,LJ401,ICN,CJU,14.8,CHECKED,2024-01-16 10:30:20,C09,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160010,BK2401160009,표아린,LJ401,ICN,CJU,16.5,CHECKED,2024-01-16 10:35:15,C09,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160011,BK2401160010,변도윤,KE890,ICN,SYD,28.5,CHECKED,2024-01-16 19:45:15,A10,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160012,BK2401160010,변도윤,KE890,ICN,SYD,26.2,CHECKED,2024-01-16 19:45:30,A10,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160013,BK2401160010,변도윤,KE890,ICN,SYD,24.8,CHECKED,2024-01-16 19:45:45,A10,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160014,BK2401160011,Emma Wilson,KE890,ICN,SYD,25.3,CHECKED,2024-01-16 19:50:20,A10,SCANNED,AIRCRAFT,TRUE,DELIVERED,TRUE,FALSE
BT2401160015,BK2401160011,Emma Wilson,KE890,ICN,SYD,22.1,CHECKED,2024-01-16 19:50:35,A10,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160016,BK2401160012,봉하준,KE890,ICN,SYD,19.5,CHECKED,2024-01-16 20:00:15,A10,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160017,BK2401160013,탁시은,OZ504,ICN,MNL,18.2,CHECKED,2024-01-16 12:30:20,B09,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160018,BK2401160014,명유나,OZ504,ICN,MNL,21.7,CHECKED,2024-01-16 12:35:15,B09,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160019,BK2401160014,명유나,OZ504,ICN,MNL,19.3,CHECKED,2024-01-16 12:35:30,B09,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160020,BK2401160015,선건우,TW602,ICN,HAN,17.8,CHECKED,2024-01-16 14:00:20,B12,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160021,BK2401160016,Nguyen Linh,TW602,ICN,HAN,16.5,CHECKED,2024-01-16 14:05:15,B12,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160022,BK2401160017,설나윤,KE345,ICN,FRA,24.2,CHECKED,2024-01-16 09:30:20,A02,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160023,BK2401160017,설나윤,KE345,ICN,FRA,21.8,CHECKED,2024-01-16 09:30:35,A02,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160024,BK2401160018,목태민,KE345,ICN,FRA,19.5,CHECKED,2024-01-16 09:35:15,A02,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160025,BK2401160019,Hans Mueller,KE345,ICN,FRA,27.8,CHECKED,2024-01-16 09:20:20,A02,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160026,BK2401160019,Hans Mueller,KE345,ICN,FRA,25.5,CHECKED,2024-01-16 09:20:35,A02,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160027,BK2401160019,Hans Mueller,KE345,ICN,FRA,23.2,CHECKED,2024-01-16 09:20:50,A02,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160028,BK2401160020,길소민,ZE305,ICN,NGO,15.8,CHECKED,2024-01-16 12:15:15,C15,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160029,BK2401160022,장우진,KE678,ICN,LHR,30.2,CHECKED,2024-01-16 08:30:20,A03,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160030,BK2401160022,장우진,KE678,ICN,LHR,28.5,CHECKED,2024-01-16 08:30:35,A03,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160031,BK2401160022,장우진,KE678,ICN,LHR,26.8,CHECKED,2024-01-16 08:30:50,A03,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160032,BK2401160022,장우진,KE678,ICN,LHR,24.1,CHECKED,2024-01-16 08:31:05,A03,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160033,BK2401160023,Sophie Brown,KE678,ICN,LHR,23.5,CHECKED,2024-01-16 08:35:20,A03,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401160034,BK2401160023,Sophie Brown,KE678,ICN,LHR,21.2,CHECKED,2024-01-16 08:35:35,A03,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170001,BK2401170001,곽서진,OZ605,ICN,DEL,20.5,CHECKED,2024-01-17 06:30:20,B05,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170002,BK2401170002,Raj Patel,OZ605,ICN,DEL,24.8,CHECKED,2024-01-17 06:35:15,B05,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170003,BK2401170002,Raj Patel,OZ605,ICN,DEL,22.3,CHECKED,2024-01-17 06:35:30,B05,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170004,BK2401170003,남예서,7C309,ICN,CTS,16.2,CHECKED,2024-01-17 08:00:15,C07,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170005,BK2401170005,엄다인,LJ502,ICN,PUS,15.8,CHECKED,2024-01-17 09:30:20,C10,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170006,BK2401170006,여현서,LJ502,ICN,PUS,17.5,CHECKED,2024-01-17 09:35:15,C10,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170007,BK2401170007,마지유,KE901,ICN,DXB,28.2,CHECKED,2024-01-17 21:45:20,A07,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170008,BK2401170007,마지유,KE901,ICN,DXB,25.8,CHECKED,2024-01-17 21:45:35,A07,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170009,BK2401170007,마지유,KE901,ICN,DXB,23.5,CHECKED,2024-01-17 21:45:50,A07,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170010,BK2401170008,Ahmed Hassan,KE901,ICN,DXB,26.5,CHECKED,2024-01-17 21:50:20,A07,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170011,BK2401170008,Ahmed Hassan,KE901,ICN,DXB,24.2,CHECKED,2024-01-17 21:50:35,A07,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170012,BK2401170009,제윤아,OZ706,ICN,SGN,18.5,CHECKED,2024-01-17 11:30:15,B08,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170013,BK2401170010,호승민,OZ706,ICN,SGN,21.2,CHECKED,2024-01-17 11:35:20,B08,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170014,BK2401170010,호승민,OZ706,ICN,SGN,19.8,CHECKED,2024-01-17 11:35:35,B08,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170015,BK2401170011,도아영,TW703,ICN,DAD,17.2,CHECKED,2024-01-17 13:00:20,B14,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170016,BK2401170012,Tran Minh,TW703,ICN,DAD,16.8,CHECKED,2024-01-17 13:05:15,B14,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170017,BK2401170013,어태현,KE012,ICN,AMS,23.5,CHECKED,2024-01-17 07:30:20,A04,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170018,BK2401170013,어태현,KE012,ICN,AMS,21.2,CHECKED,2024-01-17 07:30:35,A04,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170019,BK2401170014,Jean Dubois,KE012,ICN,AMS,29.8,CHECKED,2024-01-17 07:25:20,A04,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170020,BK2401170014,Jean Dubois,KE012,ICN,AMS,27.5,CHECKED,2024-01-17 07:25:35,A04,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170021,BK2401170014,Jean Dubois,KE012,ICN,AMS,25.2,CHECKED,2024-01-17 07:25:50,A04,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170022,BK2401170015,감소현,ZE408,ICN,OKA,15.5,CHECKED,2024-01-17 13:30:15,C14,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170023,BK2401170017,국민서,KE135,ICN,SFO,30.5,CHECKED,2024-01-17 15:30:20,A09,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170024,BK2401170017,국민서,KE135,ICN,SFO,28.2,CHECKED,2024-01-17 15:30:35,A09,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170025,BK2401170017,국민서,KE135,ICN,SFO,26.8,CHECKED,2024-01-17 15:30:50,A09,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170026,BK2401170017,국민서,KE135,ICN,SFO,24.5,CHECKED,2024-01-17 15:31:05,A09,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170027,BK2401170018,Robert Lee,KE135,ICN,SFO,25.8,CHECKED,2024-01-17 15:35:20,A09,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170028,BK2401170018,Robert Lee,KE135,ICN,SFO,23.5,CHECKED,2024-01-17 15:35:35,A09,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170029,BK2401170019,기유진,OZ807,ICN,CEB,19.2,CHECKED,2024-01-17 18:00:15,B10,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170030,BK2401170020,금서현,OZ807,ICN,CEB,22.5,CHECKED,2024-01-17 18:05:20,B10,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401170031,BK2401170020,금서현,OZ807,ICN,CEB,20.1,CHECKED,2024-01-17 18:05:35,B10,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180001,BK2401180001,난하율,7C412,ICN,TAK,14.5,CHECKED,2024-01-18 05:45:15,C02,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180002,BK2401180003,내시온,LJ603,ICN,CJU,15.2,CHECKED,2024-01-18 07:00:20,C11,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180003,BK2401180004,녹예원,LJ603,ICN,CJU,16.8,CHECKED,2024-01-18 07:05:15,C11,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180004,BK2401180005,다준영,KE246,ICN,HND,22.5,CHECKED,2024-01-18 08:30:20,A11,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180005,BK2401180005,다준영,KE246,ICN,HND,20.2,CHECKED,2024-01-18 08:30:35,A11,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180006,BK2401180006,Yamamoto Ken,KE246,ICN,HND,18.5,CHECKED,2024-01-18 08:35:20,A11,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180007,BK2401180007,단지연,OZ908,ICN,KUL,19.8,CHECKED,2024-01-18 10:00:15,B06,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180008,BK2401180008,Mohammad Ali,OZ908,ICN,KUL,24.2,CHECKED,2024-01-18 10:05:20,B06,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180009,BK2401180008,Mohammad Ali,OZ908,ICN,KUL,21.8,CHECKED,2024-01-18 10:05:35,B06,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180010,BK2401180009,당소율,TW804,ICN,PNH,17.5,CHECKED,2024-01-18 11:30:20,B13,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180011,BK2401180010,Sok Chanthy,TW804,ICN,PNH,16.2,CHECKED,2024-01-18 11:35:15,B13,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180012,BK2401180011,대현준,KE357,ICN,MAD,29.5,CHECKED,2024-01-18 10:30:20,A06,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180013,BK2401180011,대현준,KE357,ICN,MAD,27.2,CHECKED,2024-01-18 10:30:35,A06,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180014,BK2401180011,대현준,KE357,ICN,MAD,25.8,CHECKED,2024-01-18 10:30:50,A06,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180015,BK2401180012,Elena Rodriguez,KE357,ICN,MAD,24.5,CHECKED,2024-01-18 10:35:20,A06,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180016,BK2401180012,Elena Rodriguez,KE357,ICN,MAD,22.1,CHECKED,2024-01-18 10:35:35,A06,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180017,BK2401180013,덕아인,ZE511,ICN,HKT,16.5,CHECKED,2024-01-18 12:45:15,C13,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180018,BK2401180015,동서아,KE468,ICN,MXP,23.8,CHECKED,2024-01-18 08:00:20,A14,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180019,BK2401180015,동서아,KE468,ICN,MXP,21.5,CHECKED,2024-01-18 08:00:35,A14,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180020,BK2401180016,Marco Rossi,KE468,ICN,MXP,28.2,CHECKED,2024-01-18 07:55:20,A14,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180021,BK2401180016,Marco Rossi,KE468,ICN,MXP,26.5,CHECKED,2024-01-18 07:55:35,A14,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180022,BK2401180016,Marco Rossi,KE468,ICN,MXP,24.8,CHECKED,2024-01-18 07:55:50,A14,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180023,BK2401180017,두예성,OZ109,ICN,NRT,18.5,CHECKED,2024-01-18 14:30:15,B04,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180024,BK2401180018,등채연,OZ109,ICN,NRT,21.2,CHECKED,2024-01-18 14:35:20,B04,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180025,BK2401180018,등채연,OZ109,ICN,NRT,19.8,CHECKED,2024-01-18 14:35:35,B04,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180026,BK2401180019,라동현,7C516,ICN,PUS,15.5,CHECKED,2024-01-18 16:00:15,C06,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180027,BK2401180021,람지아,KE579,ICN,MEL,31.2,CHECKED,2024-01-18 20:30:20,A13,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180028,BK2401180021,람지아,KE579,ICN,MEL,29.5,CHECKED,2024-01-18 20:30:35,A13,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180029,BK2401180021,람지아,KE579,ICN,MEL,27.8,CHECKED,2024-01-18 20:30:50,A13,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180030,BK2401180021,람지아,KE579,ICN,MEL,25.2,CHECKED,2024-01-18 20:31:05,A13,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180031,BK2401180022,James Thompson,KE579,ICN,MEL,26.8,CHECKED,2024-01-18 20:35:20,A13,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401180032,BK2401180022,James Thompson,KE579,ICN,MEL,24.5,CHECKED,2024-01-18 20:35:35,A13,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401190001,BK2401190001,량은우,LJ704,ICN,CJU,16.2,CHECKED,2024-01-19 05:00:15,C04,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401190002,BK2401190002,려하영,LJ704,ICN,CJU,17.8,CHECKED,2024-01-19 05:05:20,C04,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401190003,BK2401190003,련시현,OZ210,ICN,SIN,22.5,CHECKED,2024-01-19 06:30:15,B02,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401190004,BK2401190003,련시현,OZ210,ICN,SIN,20.2,CHECKED,2024-01-19 06:30:30,B02,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401190005,BK2401190004,William Chen,OZ210,ICN,SIN,19.5,CHECKED,2024-01-19 06:35:20,B02,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401190006,BK2401190005,렴유준,TW905,ICN,RGN,17.2,CHECKED,2024-01-19 08:00:15,B16,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401190007,BK2401190006,Aung Myat,TW905,ICN,RGN,21.5,CHECKED,2024-01-19 08:05:20,B16,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
