customer_id,customer_name,email,signup_date,segment,acquisition_channel,region,lifetime_value,is_active,last_purchase_date
CUST000032,장지호,user32@gmail.com,2023-04-15,Basic,ONLINE,인천,40816,1,2023-11-04
CUST000033,박수아,user33@gmail.com,2023-02-07,VIP,OFFLINE,강원,577993,1,2023-05-28
CUST000034,장시우,user34@naver.com,2023-06-28,Basic,MOBILE,광주,29857,1,2023-11-21
CUST000035,박현우,user35@gmail.com,2023-12-27,Standard,PARTNER,세종,135232,1,2024-05-29
CUST000036,이도윤,user36@naver.com,2023-02-24,Basic,ONLINE,인천,31359,1,2023-06-12
CUST000037,강예준,user37@gmail.com,2023-05-16,Standard,ONLINE,서울,106342,1,2023-10-05
CUST000038,김민준,user38@gmail.com,2023-03-08,Basic,ONLINE,울산,38628,1,2023-12-16
CUST000039,조수빈,user39@naver.com,2023-02-08,Inactive,OFFLINE,부산,2704,0,
CUST000040,임수빈,user40@naver.com,2023-03-07,VIP,ONLINE,서울,392799,1,2023-09-07
CUST000041,최지민,user41@gmail.com,2023-07-01,Basic,MOBILE,대전,54621,1,2023-10-31
CUST000042,박서윤,user42@gmail.com,2023-01-13,Premium,MOBILE,대전,178217,1,2023-05-21
CUST000043,정서윤,user43@gmail.com,2023-02-25,Standard,ONLINE,울산,89522,1,2023-10-19
CUST000044,강수아,user44@gmail.com,2023-04-27,Standard,OFFLINE,대전,134426,1,2023-10-13
CUST000045,정하준,user45@gmail.com,2023-05-23,Standard,OFFLINE,세종,76536,1,2023-10-04
CUST000046,박건우,user46@gmail.com,2023-05-16,VIP,OFFLINE,광주,541300,1,2023-10-24
CUST000047,조지아,user47@gmail.com,2023-03-01,Standard,OFFLINE,인천,110869,1,2023-11-23
CUST000048,장예준,user48@gmail.com,2023-02-05,Inactive,MOBILE,강원,34420,0,
CUST000049,강지우,user49@gmail.com,2023-06-03,Standard,OFFLINE,광주,59459,1,2023-08-08
CUST000050,최지유,user50@gmail.com,2023-07-14,Basic,MOBILE,강원,37228,1,2024-05-01
CUST000051,정준서,user51@gmail.com,2023-01-01,Standard,ONLINE,강원,59263,1,2023-08-16
CUST000052,윤예준,user52@gmail.com,2023-03-28,Basic,ONLINE,강원,21782,1,2023-09-16
CUST000053,이지민,user53@gmail.com,2023-04-26,Basic,ONLINE,서울,30552,1,2023-06-03
CUST000054,윤지유,user54@gmail.com,2023-10-22,Premium,OFFLINE,울산,290788,1,2024-05-14
CUST000055,최도윤,user55@gmail.com,2023-01-03,Basic,MOBILE,경기,31873,1,2023-09-26
CUST000056,윤서연,user56@gmail.com,2023-03-04,Standard,MOBILE,세종,59251,1,2023-12-16
CUST000057,임지호,user57@gmail.com,2023-08-15,Basic,MOBILE,세종,720,1,2024-03-31
CUST000058,박채원,user58@gmail.com,2023-05-07,Basic,ONLINE,세종,44518,1,2024-01-11
CUST000059,최시우,user59@gmail.com,2024-01-01,Standard,ONLINE,광주,89622,1,2024-03-19
CUST000060,최준서,user60@gmail.com,2023-12-28,Standard,ONLINE,광주,72343,1,2024-10-01
CUST000061,윤지유,user61@naver.com,2023-08-04,Standard,MOBILE,서울,111757,1,2024-02-15
CUST000062,윤민준,user62@gmail.com,2023-06-02,Basic,MOBILE,대전,9983,1,2024-03-04
CUST000063,장지아,user63@gmail.com,2023-09-07,Standard,ONLINE,서울,45838,1,2024-04-02
CUST000064,박현우,user64@gmail.com,2023-11-15,Standard,MOBILE,강원,108677,1,2024-08-30
CUST000065,김하준,user65@gmail.com,2023-03-11,Basic,ONLINE,인천,22499,1,2023-08-26
CUST000066,강준서,user66@naver.com,2023-08-04,Standard,ONLINE,서울,94248,1,2024-05-07
CUST000067,김하은,user67@naver.com,2023-02-05,Basic,OFFLINE,서울,39506,1,2023-02-16
CUST000068,임도윤,user68@naver.com,2023-08-31,Basic,OFFLINE,대구,26886,1,2024-04-26
CUST000069,정하은,user69@naver.com,2023-11-07,Inactive,MOBILE,부산,36999,0,
CUST000070,김수아,user70@gmail.com,2023-07-12,Standard,MOBILE,경기,76845,1,2023-11-14
CUST000071,이수아,user71@gmail.com,2023-11-04,Basic,MOBILE,강원,32821,1,2024-06-11
CUST000072,강하준,user72@gmail.com,2023-06-24,VIP,ONLINE,울산,319156,1,2023-08-18
CUST000073,조하은,user73@gmail.com,2023-08-24,Basic,ONLINE,세종,41624,1,2024-05-26
CUST000074,윤현우,user74@gmail.com,2023-10-31,Standard,MOBILE,경기,74876,1,2024-03-22
CUST000075,윤지민,user75@gmail.com,2023-10-19,Basic,ONLINE,서울,16709,1,2024-06-25
CUST000076,최하은,user76@gmail.com,2023-06-24,Standard,OFFLINE,인천,80951,1,2024-04-04
CUST000077,김지훈,user77@gmail.com,2023-02-13,Standard,ONLINE,세종,82356,1,2023-10-23
CUST000078,윤민준,user78@naver.com,2023-04-24,Standard,ONLINE,강원,34108,1,2023-10-30
CUST000079,윤수빈,user79@gmail.com,2023-08-06,Inactive,OFFLINE,광주,26519,0,
CUST000080,정지민,user80@naver.com,2023-04-09,Standard,MOBILE,부산,57190,1,2023-07-17
CUST000081,최채원,user81@naver.com,2023-10-29,Inactive,OFFLINE,인천,58149,0,
CUST000082,정지민,user82@gmail.com,2023-06-04,VIP,OFFLINE,인천,453808,1,2023-06-28
CUST000083,김수빈,user83@naver.com,2023-03-06,Basic,MOBILE,경기,43658,1,2023-11-02
CUST000084,윤현우,user84@gmail.com,2023-01-27,Standard,MOBILE,경기,51891,1,2023-03-02
CUST000085,조채원,user85@naver.com,2023-11-19,Basic,ONLINE,강원,36009,1,2024-03-26
CUST000086,이수빈,user86@gmail.com,2023-11-07,Standard,OFFLINE,세종,76022,1,2024-05-20
CUST000087,윤현우,user87@naver.com,2023-10-29,Inactive,ONLINE,강원,65381,0,
CUST000088,이예준,user88@gmail.com,2023-05-16,Basic,ONLINE,부산,44068,1,2024-02-23
CUST000089,이서윤,user89@naver.com,2023-08-19,Basic,OFFLINE,서울,32729,1,2024-04-08
CUST000090,이지민,user90@gmail.com,2023-11-17,Standard,MOBILE,대구,126686,1,2024-06-22
CUST000091,이수빈,user91@naver.com,2023-03-18,Inactive,MOBILE,경기,54761,0,
CUST000092,임건우,user92@gmail.com,2023-08-13,Premium,OFFLINE,대전,251939,1,2023-12-31
CUST000093,장수빈,user93@gmail.com,2023-02-11,Standard,MOBILE,광주,74539,1,2023-06-09
CUST000094,임건우,user94@gmail.com,2023-12-11,Basic,OFFLINE,부산,27917,1,2024-08-08
CUST000095,장현우,user95@gmail.com,2023-04-03,Inactive,ONLINE,울산,46584,0,
CUST000096,조지호,user96@gmail.com,2023-02-23,Basic,ONLINE,울산,26734,1,2023-07-21
CUST000097,조수빈,user97@naver.com,2023-02-15,Standard,ONLINE,대전,117013,1,2023-02-16
CUST000098,장현우,user98@gmail.com,2023-04-07,Standard,OFFLINE,울산,37969,1,2023-11-20
CUST000099,김예준,user99@naver.com,2023-03-09,Inactive,ONLINE,울산,59162,0,
CUST000100,임지민,user100@gmail.com,2023-06-09,Standard,OFFLINE,경기,135763,1,2023-10-03
CUST000101,이현우,user101@gmail.com,2023-11-28,Basic,OFFLINE,인천,18030,1,2024-08-02
CUST000102,윤지민,user102@gmail.com,2023-03-16,Standard,MOBILE,세종,78664,1,2023-05-25
CUST000103,이시우,user103@gmail.com,2023-08-01,Standard,MOBILE,인천,90492,1,2024-01-01
CUST000104,임건우,user104@gmail.com,2023-09-08,Basic,ONLINE,울산,18951,1,2024-03-03
CUST000105,강수빈,user105@gmail.com,2023-07-13,Standard,ONLINE,대구,102001,1,2024-01-26
CUST000106,최지유,user106@naver.com,2023-08-31,Basic,MOBILE,대전,28665,1,2023-11-17
CUST000107,윤서연,user107@naver.com,2023-10-30,Standard,ONLINE,울산,133386,1,2023-11-07
CUST000108,박지유,user108@gmail.com,2023-03-21,Premium,MOBILE,인천,303040,1,2023-09-11
CUST000109,임준서,user109@gmail.com,2023-06-18,Basic,MOBILE,대전,50192,1,2024-02-23
CUST000110,장서연,user110@gmail.com,2023-05-01,Basic,MOBILE,대구,24015,1,2023-06-17
CUST000111,조지우,user111@gmail.com,2023-12-27,Basic,ONLINE,인천,33781,1,2024-01-25
CUST000112,정하은,user112@gmail.com,2023-03-16,Standard,ONLINE,부산,74750,1,2023-06-12
CUST000113,박하준,user113@gmail.com,2023-07-15,Basic,ONLINE,강원,40379,1,2023-11-23
CUST000114,윤시우,user114@gmail.com,2023-08-27,Inactive,OFFLINE,부산,43058,0,
CUST000115,이현우,user115@gmail.com,2023-10-28,Standard,PARTNER,인천,55484,1,2024-05-12
CUST000116,윤지우,user116@naver.com,2023-10-20,Standard,ONLINE,인천,86817,1,2023-11-01
CUST000117,조시우,user117@naver.com,2023-12-18,Basic,PARTNER,강원,29139,1,2024-05-13
CUST000118,최지아,user118@gmail.com,2023-04-23,Basic,OFFLINE,부산,1641,1,2023-06-12
CUST000119,김수아,user119@gmail.com,2023-01-18,Standard,MOBILE,경기,102497,1,2023-08-19
CUST000120,박예준,user120@naver.com,2023-10-04,Basic,ONLINE,세종,22825,1,2024-02-21
CUST000121,박시우,user121@gmail.com,2023-09-04,Inactive,ONLINE,광주,35635,0,
CUST000122,이도윤,user122@gmail.com,2023-04-26,Basic,MOBILE,대전,14109,1,2024-02-06
CUST000123,강하준,user123@gmail.com,2023-01-08,Standard,ONLINE,광주,59111,1,2023-11-04
CUST000124,조하은,user124@naver.com,2023-04-30,Standard,OFFLINE,세종,40351,1,2023-10-15
CUST000125,임지민,user125@gmail.com,2023-11-22,Basic,MOBILE,인천,25579,1,2023-12-16
CUST000126,김수아,user126@gmail.com,2023-03-01,Premium,MOBILE,부산,167873,1,2023-09-16
CUST000127,윤하은,user127@gmail.com,2023-12-23,Inactive,ONLINE,부산,46451,0,
CUST000128,윤지아,user128@gmail.com,2023-05-24,VIP,ONLINE,울산,307631,1,2024-01-07
CUST000129,최하은,user129@naver.com,2023-12-18,Standard,MOBILE,광주,102381,1,2024-02-19
CUST000130,윤하준,user130@gmail.com,2023-11-25,Basic,PARTNER,서울,34475,1,2024-05-14
CUST000131,최도윤,user131@gmail.com,2023-04-16,Premium,MOBILE,대구,74547,1,2023-08-14
CUST000132,강도윤,user132@gmail.com,2023-11-02,VIP,MOBILE,부산,310820,1,2024-01-08
CUST000133,장시우,user133@gmail.com,2023-02-26,Basic,ONLINE,서울,13374,1,2023-08-11
CUST000134,김서윤,user134@naver.com,2023-03-06,Basic,OFFLINE,경기,50555,1,2023-11-05
CUST000135,윤하은,user135@gmail.com,2023-02-25,Standard,ONLINE,강원,130524,1,2023-11-19
CUST000136,정현우,user136@gmail.com,2023-01-16,Premium,OFFLINE,대전,237647,1,2023-08-23
CUST000137,이채원,user137@gmail.com,2023-08-16,Premium,ONLINE,강원,224775,1,2024-06-11
CUST000138,장지호,user138@gmail.com,2023-11-02,Standard,OFFLINE,강원,92510,1,2024-06-10
CUST000139,이지우,user139@gmail.com,2023-11-30,Basic,OFFLINE,대구,1589,1,2024-06-29
CUST000140,강현우,user140@gmail.com,2023-02-18,Standard,ONLINE,인천,106708,1,2023-08-29
CUST000141,박채원,user141@naver.com,2023-02-13,Premium,ONLINE,광주,238600,1,2023-11-28
CUST000142,장지호,user142@gmail.com,2023-07-30,Standard,OFFLINE,대전,44596,1,2023-08-26
CUST000143,정지아,user143@gmail.com,2023-02-23,Standard,ONLINE,울산,82313,1,2023-12-05
CUST000144,강지우,user144@gmail.com,2023-10-21,Standard,ONLINE,세종,94171,1,2024-08-02
CUST000145,김지아,user145@gmail.com,2023-12-22,Standard,ONLINE,인천,104575,1,2024-03-24
CUST000146,박건우,user146@gmail.com,2023-02-05,Premium,OFFLINE,서울,164793,1,2023-03-24
CUST000147,장예준,user147@gmail.com,2023-08-21,Standard,ONLINE,광주,86519,1,2023-10-04
CUST000148,김도윤,user148@naver.com,2023-11-13,VIP,ONLINE,울산,244692,1,2024-06-18
CUST000149,윤지아,user149@gmail.com,2023-05-20,Standard,OFFLINE,광주,57852,1,2024-01-25
CUST000150,장수아,user150@naver.com,2023-07-22,Inactive,ONLINE,대구,35218,0,
CUST000151,정예준,user151@gmail.com,2023-05-11,Standard,ONLINE,울산,79650,1,2023-11-22
CUST000152,장지민,user152@gmail.com,2023-12-09,Basic,ONLINE,서울,20677,1,2024-07-20
CUST000153,김현우,user153@gmail.com,2023-06-10,Standard,OFFLINE,대전,72487,1,2023-11-24
CUST000154,박지아,user154@gmail.com,2023-12-20,Inactive,ONLINE,경기,44817,0,
CUST000155,최지유,user155@gmail.com,2023-09-26,Premium,MOBILE,광주,224702,1,2023-11-05
CUST000156,장지우,user156@gmail.com,2023-04-10,Inactive,ONLINE,부산,55654,0,
CUST000157,최지우,user157@naver.com,2023-04-12,Premium,ONLINE,경기,260871,1,2023-12-21
CUST000158,윤건우,user158@gmail.com,2023-08-18,Basic,MOBILE,강원,53167,1,2024-01-31
CUST000159,강도윤,user159@gmail.com,2023-08-29,Standard,ONLINE,인천,56542,1,2023-10-06
CUST000160,정현우,user160@gmail.com,2023-01-30,Standard,ONLINE,경기,64818,1,2023-10-17
CUST000161,조현우,user161@gmail.com,2023-01-22,Standard,MOBILE,대구,65191,1,2023-04-10
CUST000162,김현우,user162@naver.com,2023-06-25,Inactive,ONLINE,부산,45352,0,
CUST000163,김지민,user163@gmail.com,2023-08-13,Standard,OFFLINE,광주,62935,1,2024-03-10
CUST000164,강지아,user164@naver.com,2023-11-20,Basic,ONLINE,경기,38766,1,2024-09-01
CUST000165,조수아,user165@naver.com,2023-12-03,Inactive,OFFLINE,부산,20081,0,
CUST000166,박하은,user166@gmail.com,2023-12-02,Basic,ONLINE,강원,47173,1,2024-01-15
CUST000167,정수빈,user167@gmail.com,2023-06-18,Basic,OFFLINE,세종,48606,1,2024-03-05
CUST000168,강민준,user168@gmail.com,2023-04-03,Inactive,ONLINE,울산,42382,0,
CUST000169,최지민,user169@gmail.com,2023-03-21,Premium,MOBILE,경기,100451,1,2023-12-16
CUST000170,김지호,user170@gmail.com,2023-11-13,Premium,ONLINE,부산,195186,1,2024-02-14
CUST000171,임서윤,user171@gmail.com,2023-01-23,Standard,OFFLINE,대구,120453,1,2023-09-10
CUST000172,최수빈,user172@naver.com,2023-08-29,Inactive,ONLINE,강원,26087,0,
CUST000173,윤현우,user173@gmail.com,2023-07-15,Standard,ONLINE,부산,102004,1,2023-09-24
CUST000174,정서연,user174@gmail.com,2023-07-10,Standard,ONLINE,세종,30764,1,2023-09-12
CUST000175,정하준,user175@gmail.com,2023-05-20,Standard,OFFLINE,대전,135268,1,2024-01-06
CUST000176,강민준,user176@gmail.com,2023-07-22,Standard,ONLINE,경기,115915,1,2024-01-30
CUST000177,최민준,user177@gmail.com,2023-02-20,Basic,OFFLINE,부산,38005,1,2023-10-20
CUST000178,박채원,user178@gmail.com,2023-01-03,Inactive,ONLINE,대구,39384,0,
CUST000179,박수빈,user179@gmail.com,2023-11-08,Standard,ONLINE,인천,81186,1,2024-03-10
CUST000180,조지아,user180@gmail.com,2023-02-26,Basic,OFFLINE,세종,37624,1,2023-03-07
CUST000181,장건우,user181@naver.com,2023-03-15,Standard,ONLINE,광주,81845,1,2023-04-28
CUST000182,장하은,user182@naver.com,2023-09-27,Standard,MOBILE,세종,111088,1,2024-07-07
CUST000183,김준서,user183@gmail.com,2023-01-23,Basic,PARTNER,인천,29762,1,2023-02-27
CUST000184,강지민,user184@gmail.com,2023-11-18,Premium,OFFLINE,광주,124814,1,2024-01-26
CUST000185,김하은,user185@gmail.com,2023-11-26,Premium,MOBILE,울산,290629,1,2024-02-28
CUST000186,박하준,user186@gmail.com,2023-08-23,VIP,ONLINE,대구,472561,1,2023-09-14
CUST000187,강수아,user187@gmail.com,2023-10-06,Standard,ONLINE,대구,66566,1,2023-10-31
CUST000188,강시우,user188@naver.com,2023-07-08,Standard,ONLINE,울산,138191,1,2024-01-22
CUST000189,강서윤,user189@gmail.com,2023-09-12,Standard,MOBILE,인천,95271,1,2023-10-23
CUST000190,조지아,user190@gmail.com,2023-04-03,Standard,ONLINE,경기,34128,1,2023-09-18
CUST000191,정수아,user191@gmail.com,2023-08-07,Premium,ONLINE,울산,355923,1,2024-02-04
CUST000192,임지유,user192@naver.com,2023-01-30,Premium,OFFLINE,광주,242503,1,2023-10-20
CUST000193,박민준,user193@naver.com,2023-11-08,Basic,ONLINE,부산,53755,1,2024-05-14
CUST000194,강준서,user194@gmail.com,2023-01-17,Basic,OFFLINE,광주,40678,1,2023-07-27
CUST000195,윤하준,user195@gmail.com,2023-09-29,Standard,ONLINE,인천,80036,1,2024-01-03
CUST000196,윤지훈,user196@gmail.com,2023-10-15,Premium,MOBILE,울산,239260,1,2024-02-02
CUST000197,임수아,user197@gmail.com,2023-09-09,Standard,ONLINE,경기,18697,1,2024-04-24
CUST000198,이지호,user198@gmail.com,2023-12-30,Premium,OFFLINE,인천,250806,1,2024-03-20
CUST000199,박하은,user199@gmail.com,2023-03-04,Inactive,MOBILE,대구,30869,0,
CUST000200,장건우,user200@gmail.com,2023-10-10,Premium,MOBILE,경기,182126,1,2024-03-17
