lead_id,lead_email,source,status,lead_score,created_at,cust_id,assigned_rep
LD00041,prospect41@company42.com,GOOGLE_ADS,PROPOSAL,71,2023-09-30 00:00:00,,REP004
LD00042,prospect42@company42.com,GOOGLE_ADS,CONTACTED,21,2023-06-16 00:00:00,,REP010
LD00043,prospect43@company12.com,ORGANIC,CONVERTED,63,2023-07-15 00:00:00,CUST000095,REP001
LD00044,prospect44@company1.com,FACEBOOK,QUALIFIED,62,2023-12-09 00:00:00,,REP005
LD00045,prospect45@company35.com,GOOGLE_ADS,LOST,30,2023-08-12 00:00:00,,REP009
LD00046,prospect46@company13.com,CONTENT,CONVERTED,44,2023-09-28 00:00:00,,REP002
LD00047,prospect47@company1.com,ORGANIC,PROPOSAL,33,2023-12-01 00:00:00,,REP006
LD00048,prospect48@company41.com,ORGANIC,CONVERTED,88,2023-07-15 00:00:00,,REP007
LD00049,prospect49@company12.com,FACEBOOK,NEW,22,2023-11-19 00:00:00,,REP003
LD00050,prospect50@company29.com,CONTENT,NEW,40,2023-09-07 00:00:00,,REP005
LD00051,prospect51@company42.com,FACEBOOK,PROPOSAL,43,2023-06-03 00:00:00,,REP006
LD00052,prospect52@company26.com,GOOGLE_ADS,NEW,30,2023-08-18 00:00:00,,REP009
LD00053,prospect53@company41.com,WEBINAR,CONVERTED,25,2023-11-24 00:00:00,,REP005
LD00054,prospect54@company48.com,GOOGLE_ADS,LOST,24,2023-10-01 00:00:00,,REP010
LD00055,prospect55@company43.com,ORGANIC,LOST,35,2023-12-11 00:00:00,,REP004
LD00056,prospect56@company34.com,ORGANIC,QUALIFIED,88,2023-06-21 00:00:00,,REP006
LD00057,prospect57@company37.com,GOOGLE_ADS,CONVERTED,35,2023-10-08 00:00:00,CUST000073,REP009
LD00058,prospect58@company46.com,WEBINAR,CONVERTED,36,2023-11-22 00:00:00,CUST000042,REP010
LD00059,prospect59@company33.com,WEBINAR,QUALIFIED,68,2023-06-15 00:00:00,,REP007
LD00060,prospect60@company17.com,GOOGLE_ADS,QUALIFIED,85,2023-08-18 00:00:00,,REP001
LD00061,prospect61@company5.com,ORGANIC,NEW,99,2023-08-28 00:00:00,,REP009
LD00062,prospect62@company19.com,CONTENT,NEW,14,2023-09-29 00:00:00,,REP007
LD00063,prospect63@company24.com,REFERRAL,CONVERTED,63,2023-11-13 00:00:00,CUST000018,REP007
LD00064,prospect64@company9.com,WEBINAR,QUALIFIED,94,2023-06-21 00:00:00,,REP006
LD00065,prospect65@company49.com,FACEBOOK,CONVERTED,10,2023-07-28 00:00:00,CUST000069,REP001
LD00066,prospect66@company25.com,FACEBOOK,PROPOSAL,78,2023-09-17 00:00:00,,REP004
LD00067,prospect67@company3.com,GOOGLE_ADS,CONVERTED,24,2023-12-03 00:00:00,CUST000045,REP007
LD00068,prospect68@company5.com,CONTENT,CONVERTED,36,2023-08-01 00:00:00,,REP002
LD00069,prospect69@company48.com,FACEBOOK,PROPOSAL,41,2023-06-13 00:00:00,,REP001
LD00070,prospect70@company9.com,GOOGLE_ADS,CONTACTED,17,2023-12-16 00:00:00,,REP009
LD00071,prospect71@company39.com,GOOGLE_ADS,LOST,28,2023-10-26 00:00:00,,REP006
LD00072,prospect72@company18.com,CONTENT,CONVERTED,48,2023-09-14 00:00:00,CUST000019,REP001
LD00073,prospect73@company44.com,ORGANIC,PROPOSAL,90,2023-07-15 00:00:00,,REP007
LD00074,prospect74@company25.com,GOOGLE_ADS,CONTACTED,95,2023-11-12 00:00:00,,REP009
LD00075,prospect75@company49.com,FACEBOOK,NEW,33,2023-09-05 00:00:00,,REP009
LD00076,prospect76@company30.com,REFERRAL,CONTACTED,28,2023-11-29 00:00:00,,REP001
LD00077,prospect77@company17.com,CONTENT,QUALIFIED,75,2023-07-05 00:00:00,,REP004
LD00078,prospect78@company47.com,GOOGLE_ADS,QUALIFIED,94,2023-09-03 00:00:00,,REP004
LD00079,prospect79@company49.com,ORGANIC,CONVERTED,34,2023-06-19 00:00:00,CUST000049,REP010
LD00080,prospect80@company14.com,ORGANIC,QUALIFIED,60,2023-08-25 00:00:00,,REP004
LD00081,prospect81@company39.com,GOOGLE_ADS,LOST,32,2023-10-01 00:00:00,,REP004
LD00082,prospect82@company30.com,GOOGLE_ADS,CONTACTED,58,2023-08-12 00:00:00,,REP009
LD00083,prospect83@company47.com,FACEBOOK,QUALIFIED,66,2023-10-06 00:00:00,,REP008
LD00084,prospect84@company3.com,FACEBOOK,CONTACTED,62,2023-08-20 00:00:00,,REP010
LD00085,prospect85@company38.com,ORGANIC,NEW,84,2023-10-20 00:00:00,,REP007
LD00086,prospect86@company36.com,FACEBOOK,CONVERTED,73,2023-08-02 00:00:00,CUST000026,REP006
LD00087,prospect87@company11.com,CONTENT,CONVERTED,68,2023-10-04 00:00:00,CUST000063,REP006
LD00088,prospect88@company4.com,FACEBOOK,CONVERTED,92,2023-10-17 00:00:00,CUST000093,REP009
LD00089,prospect89@company27.com,CONTENT,CONVERTED,10,2023-12-13 00:00:00,CUST000010,REP003
LD00090,prospect90@company33.com,GOOGLE_ADS,PROPOSAL,37,2023-06-03 00:00:00,,REP008
LD00091,prospect91@company43.com,ORGANIC,PROPOSAL,71,2023-11-05 00:00:00,,REP008
LD00092,prospect92@company35.com,ORGANIC,CONVERTED,45,2023-10-14 00:00:00,CUST000069,REP005
LD00093,prospect93@company7.com,ORGANIC,CONVERTED,23,2023-07-16 00:00:00,CUST000090,REP009
LD00094,prospect94@company26.com,ORGANIC,CONVERTED,44,2023-08-30 00:00:00,CUST000025,REP002
LD00095,prospect95@company44.com,FACEBOOK,QUALIFIED,79,2023-11-26 00:00:00,,REP002
LD00096,prospect96@company25.com,WEBINAR,CONVERTED,61,2023-06-24 00:00:00,,REP007
LD00097,prospect97@company32.com,GOOGLE_ADS,NEW,20,2023-07-14 00:00:00,,REP007
LD00098,prospect98@company3.com,FACEBOOK,LOST,39,2023-06-25 00:00:00,,REP004
LD00099,prospect99@company44.com,WEBINAR,CONVERTED,19,2023-06-12 00:00:00,CUST000089,REP005
LD00100,prospect100@company14.com,ORGANIC,NEW,12,2023-08-20 00:00:00,,REP010
LD00101,prospect101@company37.com,REFERRAL,CONVERTED,30,2023-08-16 00:00:00,CUST000092,REP004
LD00102,prospect102@company25.com,REFERRAL,PROPOSAL,52,2023-10-17 00:00:00,,REP003
LD00103,prospect103@company4.com,ORGANIC,NEW,54,2023-12-08 00:00:00,,REP002
LD00104,prospect104@company39.com,REFERRAL,CONTACTED,88,2023-12-14 00:00:00,,REP007
LD00105,prospect105@company32.com,FACEBOOK,PROPOSAL,67,2023-12-18 00:00:00,,REP004
LD00106,prospect106@company6.com,CONTENT,QUALIFIED,84,2023-11-22 00:00:00,,REP010
LD00107,prospect107@company46.com,ORGANIC,CONVERTED,58,2023-07-10 00:00:00,CUST000032,REP003
LD00108,prospect108@company29.com,FACEBOOK,NEW,49,2023-06-02 00:00:00,,REP006
LD00109,prospect109@company36.com,GOOGLE_ADS,NEW,67,2023-09-19 00:00:00,,REP009
LD00110,prospect110@company39.com,GOOGLE_ADS,NEW,21,2023-10-20 00:00:00,,REP010
LD00111,prospect111@company50.com,WEBINAR,NEW,59,2023-09-14 00:00:00,,REP002
LD00112,prospect112@company11.com,ORGANIC,LOST,26,2023-08-02 00:00:00,,REP007
LD00113,prospect113@company28.com,FACEBOOK,CONVERTED,31,2023-06-17 00:00:00,CUST000035,REP005
LD00114,prospect114@company47.com,FACEBOOK,NEW,41,2023-08-04 00:00:00,,REP008
LD00115,prospect115@company26.com,GOOGLE_ADS,NEW,10,2023-08-17 00:00:00,,REP006
LD00116,prospect116@company28.com,FACEBOOK,CONVERTED,52,2023-09-21 00:00:00,,REP010
LD00117,prospect117@company12.com,ORGANIC,CONVERTED,50,2023-10-01 00:00:00,CUST000042,REP007
LD00118,prospect118@company16.com,GOOGLE_ADS,PROPOSAL,83,2023-10-04 00:00:00,,REP006
LD00119,prospect119@company38.com,REFERRAL,QUALIFIED,72,2023-06-30 00:00:00,,REP009
LD00120,prospect120@company14.com,ORGANIC,CONVERTED,100,2023-09-27 00:00:00,CUST000099,REP008
LD00121,prospect121@company32.com,REFERRAL,NEW,96,2023-09-13 00:00:00,,REP003
LD00122,prospect122@company25.com,GOOGLE_ADS,PROPOSAL,64,2023-12-01 00:00:00,,REP002
LD00123,prospect123@company35.com,ORGANIC,QUALIFIED,86,2023-10-15 00:00:00,,REP001
LD00124,prospect124@company41.com,FACEBOOK,CONVERTED,86,2023-10-16 00:00:00,,REP002
LD00125,prospect125@company3.com,ORGANIC,CONVERTED,88,2023-11-13 00:00:00,CUST000032,REP010
LD00126,prospect126@company7.com,ORGANIC,QUALIFIED,87,2023-12-10 00:00:00,,REP001
LD00127,prospect127@company37.com,FACEBOOK,CONVERTED,98,2023-10-27 00:00:00,CUST000029,REP004
LD00128,prospect128@company33.com,FACEBOOK,CONVERTED,98,2023-10-29 00:00:00,,REP003
LD00129,prospect129@company8.com,GOOGLE_ADS,NEW,20,2023-09-15 00:00:00,,REP003
LD00130,prospect130@company23.com,FACEBOOK,CONVERTED,71,2023-10-12 00:00:00,,REP008
LD00131,prospect131@company46.com,ORGANIC,CONVERTED,15,2023-08-16 00:00:00,CUST000093,REP002
LD00132,prospect132@company34.com,ORGANIC,CONVERTED,41,2023-07-13 00:00:00,CUST000044,REP003
LD00133,prospect133@company41.com,FACEBOOK,QUALIFIED,85,2023-09-27 00:00:00,,REP003
LD00134,prospect134@company29.com,FACEBOOK,CONVERTED,35,2023-11-05 00:00:00,CUST000085,REP010
LD00135,prospect135@company5.com,GOOGLE_ADS,CONTACTED,100,2023-08-11 00:00:00,,REP010
LD00136,prospect136@company17.com,GOOGLE_ADS,CONVERTED,24,2023-09-26 00:00:00,CUST000069,REP008
LD00137,prospect137@company8.com,ORGANIC,QUALIFIED,97,2023-11-04 00:00:00,,REP006
LD00138,prospect138@company20.com,FACEBOOK,CONTACTED,100,2023-11-20 00:00:00,,REP010
LD00139,prospect139@company8.com,ORGANIC,CONTACTED,49,2023-08-01 00:00:00,,REP003
LD00140,prospect140@company25.com,GOOGLE_ADS,QUALIFIED,96,2023-10-31 00:00:00,,REP007
LD00141,prospect141@company11.com,FACEBOOK,CONVERTED,81,2023-07-15 00:00:00,CUST000082,REP008
LD00142,prospect142@company1.com,FACEBOOK,CONVERTED,55,2023-06-14 00:00:00,CUST000024,REP008
LD00143,prospect143@company44.com,CONTENT,CONVERTED,62,2023-10-05 00:00:00,CUST000050,REP008
LD00144,prospect144@company49.com,REFERRAL,QUALIFIED,61,2023-06-22 00:00:00,,REP004
LD00145,prospect145@company37.com,GOOGLE_ADS,CONVERTED,68,2023-12-17 00:00:00,CUST000036,REP008
LD00146,prospect146@company24.com,GOOGLE_ADS,NEW,79,2023-12-16 00:00:00,,REP009
LD00147,prospect147@company28.com,GOOGLE_ADS,PROPOSAL,37,2023-10-18 00:00:00,,REP002
LD00148,prospect148@company17.com,ORGANIC,CONTACTED,67,2023-06-09 00:00:00,,REP006
LD00149,prospect149@company14.com,GOOGLE_ADS,CONVERTED,40,2023-07-01 00:00:00,,REP010
LD00150,prospect150@company40.com,WEBINAR,PROPOSAL,31,2023-09-18 00:00:00,,REP003
